model,n_folds,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,mape_pct_mean,mape_pct_std,mape_pct_ci95,r2_mean,r2_std,r2_ci95
"Power-law (d,rho,fck)",5,0.2853307523608268,0.06125125309160298,0.05368909052298842,0.21525862684252006,0.047463311408158404,0.041603426772386314,13.871115632624003,3.5403544090829517,3.1032574642750266,0.6656995975172044,0.04715137647620281,0.041330003749121796
OLS + mechanics feats,5,0.2990475407329739,0.09386252739266018,0.08227413278165031,0.22478810100316707,0.07207460355260019,0.06317617549402504,14.571061200401228,5.56795217082962,4.88052526338148,0.6371097301921964,0.12382677815329951,0.10853895660714091
EC2 x correction (grey-box),5,0.30098819037991487,0.10566867314304251,0.09262267580609937,0.2277733861607957,0.08112272506446681,0.07110720368355612,14.706234833733115,5.956168453244122,5.220811838382304,0.6279645204755893,0.1689182599404843,0.14806338305221775
Random Forest + mechanics feats,5,0.3023717736770543,0.0649317088830194,0.056915152263402054,0.23382332036029868,0.05594144372600519,0.04903483740488407,15.304902299939016,3.875837944317036,3.3973217484002474,0.6268242161709396,0.049019188744407374,0.04296721338787988
EC2 free-exponent,5,0.30815107509743433,0.0718132339475005,0.062947074933957,0.2376868578549694,0.06255124605534386,0.05482858459676925,15.346455637734607,3.2398676452003103,2.8398692027658647,0.6123880848288465,0.06442850610059848,0.056474075577241656
Power-law (+geometry),5,0.30847864071273934,0.1026161739409404,0.089947042284971,0.2338447712036153,0.08010301157836393,0.07021338540393637,15.10127704859435,6.007767482560596,5.266040381735163,0.6074706925302882,0.16512564943156482,0.14473901336744915
"EC2 (refit C_Rd,c)",5,0.3096833850867552,0.07254233270714017,0.06358615817439212,0.23896260233022315,0.06335502382846978,0.055533126878658336,15.199003776634765,3.2032065446648557,2.8077343312983905,0.608939682498864,0.06319022509690472,0.05538867442143534
Random Forest (raw),5,0.3138659816359664,0.05031243981986912,0.04410079793602909,0.24309494049625818,0.04863601118606423,0.042631343449260076,15.82028326954306,3.784645410680674,3.3173879683337217,0.5904414297891062,0.03952368003649444,0.034644033030760746
OLS (raw),5,0.3150907600063754,0.060816928324470915,0.053308388079169745,0.23791109619346845,0.05774321187270775,0.0506141568187266,15.714426609466694,4.073589348923772,3.5706584970721638,0.5790287722759416,0.1146771624606919,0.10051896484572649
Symbolic regression,5,0.3474181363071565,0.09396336513401923,0.08236252095904584,0.26405983664136534,0.08014395924952661,0.0702492776202225,15.940444555522415,3.788816614001569,3.321044189249731,0.4564336280535654,0.2922647065532063,0.25618131050058307
