model,rmse,mae,mape_pct,r2,ratio_mean,ratio_std
OLS + mechanics feats,0.08213585173940462,0.0511323156496313,14.567653872666577,0.9661231164843799,1.030963250777356,0.20623041318215474
EC2 x correction (grey-box),0.08606357192109412,0.05308270673175538,14.703654843983896,0.9628056773445687,1.0361277376076643,0.20504449716808007
"Power-law (d,rho,fck)",0.08839303046256963,0.05188396035825383,13.871801047799131,0.9607649719322527,1.0267771844957576,0.1888491105921284
Power-law (+geometry),0.10844362541611208,0.05659808170040996,15.098709833089982,0.9409464545228047,1.0397086588379925,0.2092345470381359
OLS (raw),0.12326309290082817,0.062240061895838146,15.716139870998052,0.9237036007514483,1.0423702071683316,0.22442126513093955
Symbolic regression,0.13331369261255135,0.06873124081868004,15.925976657446922,0.9107542719888609,1.0199687489969518,0.20734772647611738
Random Forest + mechanics feats,0.13538828960165333,0.06428266030937498,15.30903277505179,0.9079550165277579,1.0273383369917344,0.2051480373359088
"EC2 (refit C_Rd,c)",0.14243832398558434,0.07045831461804544,15.202612169388013,0.8981193679979647,1.0306483420218517,0.19762788991614497
EC2 free-exponent,0.14578375985070724,0.07064932747083999,15.352199667162736,0.8932774449503884,1.0423352076857382,0.2009913997074847
Random Forest (raw),0.15772715526060213,0.07001230333592001,15.827774666805174,0.8750745674877664,1.038596629227769,0.2170597266407032
