model,n_folds,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,mape_pct_mean,mape_pct_std,mape_pct_ci95,r2_mean,r2_std,r2_ci95
Random Forest (raw),10,0.24332352252221118,0.0261768025133782,0.01622455028932829,0.17712870519002163,0.018750620998025984,0.01162175529968297,11.628562628484115,1.430699905380582,0.8867569884412455,0.7650344883981832,0.058361327695169454,0.03617272566648729
Random Forest + mechanics feats,10,0.25297833609264625,0.027777391759087146,0.01721660578183128,0.18573161249370315,0.02224272464908735,0.013786183566780753,12.176204294535703,1.2651579349330166,0.7841530121477939,0.7451078501489908,0.06419373347103635,0.03978768821853923
"Power-law (d,rho,fck)",10,0.2614933131070704,0.020198595506368933,0.012519219197967306,0.19704928644895445,0.01938966623050329,0.01201783963833299,12.920939187260387,1.3988785780493098,0.8670339254240744,0.7309405541207272,0.04592958604698311,0.028467452363842575
Power-law (+geometry),10,0.26390122539013267,0.01963939819588773,0.01217262511410536,0.19740772467110376,0.019269042187800487,0.011943076082091407,12.978898512336821,1.3922743169097807,0.8629405619612379,0.7245435048092516,0.056514615918483245,0.0350281218488351
EC2 x correction (grey-box),10,0.269099126066831,0.025716754927926813,0.01593940984171917,0.19973969424744017,0.023169390828483342,0.014360537215258108,12.99053465878807,1.4890349657762387,0.9229134334668222,0.7135781989736687,0.06346156263945181,0.03933388403556648
OLS + mechanics feats,10,0.2714323748812462,0.023971805540096768,0.014857879006136325,0.20053411457548392,0.02379010403630747,0.014745259247310953,13.034714776238378,1.4163345676031127,0.8778532598412906,0.7098070133426191,0.05549369769518391,0.03439535017831704
Symbolic regression,10,0.2737101093413909,0.04053030371894565,0.025120942506011195,0.2070888034778388,0.03397771882434059,0.021059608311612195,13.164798328633708,1.7814050319488637,1.104126277903712,0.7063917568582365,0.06664902176073982,0.04130949166686848
OLS (raw),10,0.2874074140946693,0.03446973673787659,0.021364564173862188,0.21552261593749003,0.029903566543062008,0.018534422565942777,14.284855706245372,2.1740518434473644,1.3474912930099707,0.6765238732721431,0.06535720533537712,0.040508815551167726
EC2 free-exponent,10,0.3092421638682598,0.03776474645777202,0.023406832356805733,0.23440023429351325,0.033125588840018774,0.020531452675468014,15.201500080298128,2.0075161465746754,1.2442713986971194,0.6274241922847902,0.0613537012263476,0.03802741799631796
"EC2 (refit C_Rd,c)",10,0.3108532095972285,0.03610897851130139,0.022380576751246536,0.23632928843831894,0.03250323709560969,0.020145715067918124,15.054641938802746,1.911559872056022,1.1847970835775083,0.6225876932344947,0.06532004892852963,0.04048578577160777
