model,rmse,mae,mape_pct,r2,ratio_mean,ratio_std
SVR (linear),0.11361348506459604,0.06345863372618195,15.837377758512403,0.9351816928425921,1.0416949952291188,0.22257778962013794
Ridge,0.11813514785365826,0.061287633110061905,15.6986614977387,0.9299196634149464,1.0432498688799459,0.22408494461632159
ElasticNet,0.11857699620665595,0.06210553341103563,15.790365135556058,0.9293944549703724,1.0433911974122745,0.2246091824934627
Lasso,0.1199830088815297,0.06252214517305653,15.815196338702863,0.92771013424823,1.043488374049333,0.22476955069542714
OLS,0.12326309290082817,0.062240061895838146,15.716139870998052,0.9237036007514483,1.0423702071683316,0.22442126513093955
NLR (d x fcm),0.13691928115505692,0.0673595156868669,15.699157320383033,0.9058615287429677,1.0382184920559525,0.22220927060998424
"EC2 (refit C_Rd,c)",0.14243832398558434,0.07045831461804544,15.202612169388013,0.8981193679979647,1.0306483420218517,0.19762788991614497
Random Forest,0.1441986164982727,0.06841599042543141,16.144936014713252,0.8955856695699215,1.0514144293412975,0.222995707098348
Decision Tree,0.15661766573070124,0.0781652196779954,19.1385451463364,0.8768258952748166,1.026745118012173,0.25385402551721903
SVR (RBF),0.15688098189242078,0.07546012398974107,16.645646301557772,0.8764113699118555,1.0273826763827953,0.2325789147564516
SVR (poly-3),1.7050645042369128,0.3290523099889128,39.01646975231024,-13.598880293417688,0.949441243146013,1.2793615499038091
