model,n_folds,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,mape_pct_mean,mape_pct_std,mape_pct_ci95,r2_mean,r2_std,r2_ci95
Random Forest,25,0.2337071101419621,0.03069791685411672,0.012033583406813753,0.16914888579872112,0.018478869626301794,0.007243716893510303,11.147256168402002,1.23389065478436,0.48368513667546914,0.7865172084860209,0.045979380094696105,0.018023916997120873
SVR (RBF),25,0.25208851203379146,0.03663859768307705,0.014362330291766203,0.17741353997584533,0.021617411834489512,0.00847402543911989,11.42887621942131,1.4393447369090615,0.5642231368683521,0.7520906613971364,0.05653636052752139,0.022162253326788384
NLR (d x fcm),25,0.28482820088384825,0.033505580024027724,0.013134187369418867,0.21375556350959518,0.02575510380190081,0.010096000690345119,14.309348801000768,2.027256743512811,0.7946846434570218,0.680445389790314,0.0790978314843216,0.03100634994185407
OLS,25,0.28784305623073225,0.03621141933148799,0.014194876377943292,0.21600133384777817,0.02719402757256687,0.010660058808446213,14.326375354393777,2.2687739076025504,0.8893593717801997,0.6749585430465954,0.07441203551916424,0.029169517923512384
Ridge,25,0.2879263331070808,0.03619160025105342,0.014187107298412941,0.2159291548391013,0.02716545756045426,0.010648859363698068,14.331961749584439,2.2631619282942315,0.8871594758913387,0.6750265972924455,0.07313663088047487,0.02866955930514615
ElasticNet,25,0.2882491399841789,0.036519348834304244,0.014315584743047262,0.21621690992284442,0.027179721767826168,0.010654450932987856,14.353753353293941,2.2608106781669686,0.8862377858414516,0.6742857586394077,0.07347640452797073,0.028802750574964526
Lasso,25,0.28825196646243273,0.036531485254545096,0.014320342219781677,0.2162894688241784,0.02716695605448926,0.01064944677335979,14.359184005260701,2.261509266206223,0.8865116323528395,0.6741855946583181,0.07397590431119905,0.028998554489990024
SVR (linear),25,0.2883272350290563,0.03557422298022773,0.013945095408249269,0.21647584145442494,0.02743384646271392,0.010754067813383856,14.304687694608923,2.218517854974449,0.8696589991499839,0.6745599631287237,0.07067102707627829,0.027703042613901087
Decision Tree,25,0.3066276228157355,0.030613357597084053,0.012000436178056947,0.22625482260547003,0.020483910226932685,0.008029692808957612,14.70551361873025,1.5008537360048422,0.5883346645138982,0.632163229344583,0.07102251149102307,0.02784082450448104
"EC2 (refit C_Rd,c)",25,0.30986273770015527,0.031317292694636706,0.01227637873629759,0.23510784955929073,0.023829292634620598,0.009341082712771273,14.990044823369619,1.5905922397106607,0.623512157966579,0.6259633700384929,0.06277109928328499,0.024606270919047712
SVR (poly-3),25,0.6554114888785736,0.3479640614806346,0.13640191210040875,0.35681589091999905,0.07798681883499793,0.03057083298331919,25.35001138754524,8.793611305310435,3.4470956316816905,-0.9011234466235335,1.886583477366103,0.7395407231275124
