a,b,statistic,p_value,median_abs_err_diff,a_better_frac,n
Random Forest,"EC2 (refit C_Rd,c)",15976.0,4.4956944061078846e-12,-0.04727565868455763,0.6517857142857143,336
Random Forest,OLS,18239.0,1.598249231467464e-08,-0.02479617880796292,0.6130952380952381,336
Random Forest,NLR (d x fcm),18832.0,1.0498313571496698e-07,-0.031379294690180304,0.6220238095238095,336
Random Forest,Lasso,18221.0,1.5069516340791173e-08,-0.02511078383938803,0.6160714285714286,336
Random Forest,Ridge,18244.0,1.624548700001053e-08,-0.024384324355472775,0.6190476190476191,336
Random Forest,ElasticNet,18213.0,1.4680202574674092e-08,-0.024787219985872744,0.6220238095238095,336
Random Forest,SVR (linear),18130.0,1.1176189567631198e-08,-0.023515344123415494,0.6220238095238095,336
Random Forest,SVR (poly-3),10236.0,3.5999400751544336e-24,-0.09108838595132096,0.7291666666666666,336
Random Forest,SVR (RBF),26958.0,0.4486828521520154,8.225496998992554e-05,0.5,336
Random Forest,Decision Tree,17983.0,6.859264211206511e-09,-0.02875731617243349,0.6101190476190477,336
"EC2 (refit C_Rd,c)",OLS,24349.0,0.026298886657477465,0.01604460839457955,0.44047619047619047,336
"EC2 (refit C_Rd,c)",NLR (d x fcm),23047.0,0.0031526832955566597,0.01717861914676644,0.4255952380952381,336
"EC2 (refit C_Rd,c)",Lasso,24386.0,0.02773564841800258,0.016177927343965837,0.44047619047619047,336
"EC2 (refit C_Rd,c)",Ridge,24364.0,0.026873415783654788,0.016016576685206507,0.4375,336
"EC2 (refit C_Rd,c)",ElasticNet,24367.0,0.026989613055670617,0.015717451228221657,0.4375,336
"EC2 (refit C_Rd,c)",SVR (linear),24601.0,0.03749358298422228,0.014630151621582765,0.4494047619047619,336
"EC2 (refit C_Rd,c)",SVR (poly-3),17910.0,5.369333132617731e-09,-0.0684404968011495,0.6309523809523809,336
"EC2 (refit C_Rd,c)",SVR (RBF),17099.0,3.165867548890627e-10,0.04484484410415568,0.3541666666666667,336
"EC2 (refit C_Rd,c)",Decision Tree,24325.5,0.025420128164250586,0.014329379123285468,0.4732142857142857,336
