target,feature,pearson_r,r2_single
load V_test [MN],d,0.8933263196825173,0.7980319134375111
load V_test [MN],col_area,0.3890883694156096,0.15138975921449788
load V_test [MN],rho_l,0.051002887856808225,0.0026012945697341558
load V_test [MN],fcm_cyl,0.4281367777385777,0.1833011004523723
load V_test [MN],u0_perim,0.5755212911363825,0.33122475655128875
stress v [MPa],d,-0.26636646517445833,0.07095109376953593
stress v [MPa],col_area,-0.1590265246778124,0.025289435551102874
stress v [MPa],rho_l,0.5909051127314593,0.34916885225217864
stress v [MPa],fcm_cyl,0.5399928407122897,0.2915922680205283
stress v [MPa],u0_perim,-0.254934217342259,0.06499145517191016
